round,date,match,venue
Thu 7 May 6:10pm,"Fremantle
v 
Hawthorn",Optus Stadium,
Fri 8 May 7:30pm,"Brisbane
v 
Carlton",Gabba,
Fri 8 May 7:40pm,"Port Adelaide
v 
Western Bulldogs",Adelaide Oval,
Sat 9 May 12:35pm,"North Melbourne
v 
Sydney",Marvel Stadium,
Sat 9 May 4:15pm,"GWS
v 
Essendon",ENGIE Stadium,
Sat 9 May 6:40pm,"Gold Coast
v 
St Kilda",TIO Stadium,
Sat 9 May 7:35pm,"Geelong
v 
Collingwood",MCG,
Sun 10 May 1:10pm,"Melbourne
v 
West Coast",Marvel Stadium,
Sun 10 May 3:15pm,"Richmond
v 
Adelaide",MCG,
Thu 14 May 7:30pm,"Brisbane
v 
Geelong",Gabba,
Fri 15 May 7:30pm,"Sydney
v 
Collingwood",SCG,
Fri 15 May 7:40pm,"Gold Coast
v 
Port Adelaide",TIO Stadium,
Sat 16 May 12:45pm,"Adelaide
v 
North Melbourne",Adelaide Oval,
Sat 16 May 4:15pm,"Melbourne
v 
Hawthorn",MCG,
Sat 16 May 7:35pm,"Carlton
v 
Western Bulldogs",Marvel Stadium,
Sun 17 May 1:10pm,"Essendon
v 
Fremantle",MCG,
Sun 17 May 3:15pm,"St Kilda
v 
Richmond",Marvel Stadium,
Sun 17 May 4:15pm,"West Coast
v 
GWS",Optus Stadium,
Thu 21 May 7:30pm,"Hawthorn
v 
Adelaide",UTAS Stadium,
Fri 22 May 6:30pm,"Fremantle
v 
St Kilda",Optus Stadium,
Fri 22 May 7:40pm,"Richmond
v 
Essendon",MCG,
Sat 23 May 1:15pm,"North Melbourne
v 
Gold Coast",Marvel Stadium,
Sat 23 May 4:15pm,"Geelong
v 
Sydney",GMHBA Stadium,
Sat 23 May 4:35pm,"Collingwood
v 
West Coast",MCG,
Sat 23 May 7:05pm,"Port Adelaide
v 
Carlton",Adelaide Oval,
Sun 24 May 12:30pm,"GWS
v 
Brisbane",ENGIE Stadium,
Sun 24 May 3:15pm,"Western Bulldogs
v 
Melbourne",Marvel Stadium,
Thu 28 May 7:30pm,"St Kilda
v 
Hawthorn",Marvel Stadium,
Fri 29 May 7:40pm,"Carlton
v 
Geelong",MCG,
Sat 30 May 1:15pm,"Sydney
v 
Richmond",SCG,
Sat 30 May 4:15pm,"Brisbane
v 
Fremantle",Gabba,
Sat 30 May 7:35pm,"Western Bulldogs
v 
Collingwood",Marvel Stadium,
Sun 31 May 2:45pm,"Melbourne
v 
GWS",TIO Traeger Park,
Sun 31 May 5:20pm,"West Coast
v 
Essendon",Optus Stadium,
,Adelaide,BYE,
,North Melbourne,BYE,
,Port Adelaide,BYE,
,Gold Coast,BYE,
Thu 4 Jun 7:00pm,"Adelaide
v 
Geelong",Adelaide Oval,
Fri 5 Jun 7:40pm,"Hawthorn
v 
Western Bulldogs",MCG,
Sat 6 Jun 12:15pm,"North Melbourne
v 
Fremantle",Hands Oval,
Sat 6 Jun 5:15pm,"Gold Coast
v 
Brisbane",People First Stadium,
Sat 6 Jun 6:15pm,"West Coast
v 
Port Adelaide",Optus Stadium,
Sun 7 Jun 3:15pm,"Sydney
v 
St Kilda",SCG,
Sun 7 Jun 7:20pm,"Essendon
v 
Carlton",MCG,
Mon 8 Jun 3:15pm,"Collingwood
v 
Melbourne",MCG,
,Richmond,BYE,
,GWS,BYE,
Thu 11 Jun 7:30pm,"Western Bulldogs
v 
Adelaide",Marvel Stadium,
Fri 12 Jun 7:40pm,"Geelong
v 
Gold Coast",GMHBA Stadium,
Sat 13 Jun 1:15pm,"Melbourne
v 
Essendon",MCG,
Sat 13 Jun 2:15pm,"North Melbourne
v 
West Coast",Optus Stadium,
Sat 13 Jun 7:05pm,"Port Adelaide
v 
Sydney",Adelaide Oval,
Sun 14 Jun 1:10pm,"Richmond
v 
Brisbane",Ninja Stadium,
Sun 14 Jun 3:15pm,"St Kilda
v 
GWS",Marvel Stadium,
,Carlton,BYE,
,Collingwood,BYE,
,Fremantle,BYE,
,Hawthorn,BYE,
Thu 18 Jun 6:10pm,"Fremantle
v 
Geelong",Optus Stadium,
Fri 19 Jun 7:40pm,"Gold Coast
v 
Hawthorn",People First Stadium,
Sat 20 Jun 12:45pm,"Adelaide
v 
Melbourne",Adelaide Oval,
Sat 20 Jun 4:15pm,"GWS
v 
Carlton",ENGIE Stadium,
Sat 20 Jun 7:35pm,"Collingwood
v 
Port Adelaide",MCG,
Sun 21 Jun 1:10pm,"Richmond
v 
North Melbourne",MCG,
Sun 21 Jun 3:15pm,"St Kilda
v 
Western Bulldogs",Marvel Stadium,
,Essendon,BYE,
,Sydney,BYE,
,West Coast,BYE,
,Brisbane,BYE,
Sat 27 Jun 12:00pm,"Brisbane
v 
Sydney",Gabba,
Sat 27 Jun 12:00pm,"Carlton
v 
West Coast",Marvel Stadium,
Sat 27 Jun 12:00pm,"Collingwood
v 
Richmond",MCG,
Sat 27 Jun 12:00pm,"Hawthorn
v 
GWS",MCG,
Sat 27 Jun 12:00pm,"North Melbourne
v 
Essendon",Marvel Stadium,
Sat 27 Jun 12:00pm,"Port Adelaide
v 
Adelaide",Adelaide Oval,
Sat 27 Jun 12:00pm,"Fremantle
v 
Gold Coast",Optus Stadium,
,Western Bulldogs,BYE,
,Geelong,BYE,
,Melbourne,BYE,
,St Kilda,BYE,
Sat 4 Jul 12:00pm,"Essendon
v 
St Kilda",Marvel Stadium,
Sat 4 Jul 12:00pm,"Geelong
v 
Brisbane",GMHBA Stadium,
Sat 4 Jul 12:00pm,"Gold Coast
v 
Collingwood",People First Stadium,
Sat 4 Jul 12:00pm,"GWS
v 
Fremantle",Manuka Oval,
Sat 4 Jul 12:00pm,"Hawthorn
v 
Melbourne",UTAS Stadium,
Sat 4 Jul 12:00pm,"Richmond
v 
Carlton",MCG,
